Type,Location,Bath,Bedrooms,Precinct,Total Area,Total Price
1,"Bahria Town, Karachi",5,5,Precinct 8,250,35000000
1,"Bahria Town, Karachi",5,5,Precinct 33,500,40000000
1,"Bahria Town, Karachi",4,4,Precinct 8,250,32000000
1,"Bahria Town, Karachi",4,4,Precinct 6,250,28000000
1,"Bahria Town, Karachi",4,4,Precinct 22,250,26000000
1,"Bahria Town, Karachi",3,3,Precinct 27,125,14000000
1,"Bahria Town, Karachi",3,3,Precinct 12,125,15200000
1,"Bahria Town, Karachi",3,3,Precinct 11-B,152,15000000
2,"Bahria Town, Karachi",2,2,Precinct 19,106,9000000
2,"Bahria Town, Karachi",2,2,Precinct 8,106,6200000
2,"Bahria Town, Karachi",3,2,Bahria Town,122,9000000
1,"Bahria Town, Karachi",4,4,Precinct 30,250,25000000
1,"Bahria Town, Karachi",3,3,Precinct 12,125,15000000
1,"Bahria Town, Karachi",5,5,Precinct 33,500,40000000
1,"Bahria Town, Karachi",4,4,Precinct 8,250,32000000
1,"Bahria Town, Karachi",4,4,Precinct 6,250,28000000
1,"Bahria Town, Karachi",4,4,Precinct 22,250,26000000
1,"Bahria Town, Karachi",3,3,Precinct 27,125,14000000
1,"Bahria Town, Karachi",4,4,Precinct 30,250,25000000
1,"Bahria Town, Karachi",3,3,Precinct 12,125,15000000
1,"Bahria Town, Karachi",5,5,Precinct 33,500,40000000
1,"Bahria Town, Karachi",4,4,Precinct 6,250,28000000
1,"Bahria Town, Karachi",4,4,Precinct 8,250,32000000
1,"Bahria Town, Karachi",3,3,Precinct 12,125,15500000
1,"Bahria Town, Karachi",4,3,Precinct 2,152,18500000
1,"Bahria Town, Karachi",3,3,Precinct 10-A,200,19500000
1,"Bahria Town, Karachi",3,3,Precinct 27,235,25500000
2,"Bahria Town, Karachi",4,4,Precinct 19,328,26200000
1,"Bahria Town, Karachi",3,3,Precinct 11-B,152,15600000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,152,17000000
1,"Bahria Town, Karachi",3,3,Precinct 2,152,19500000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,200,19000000
1,"Bahria Town, Karachi",3,3,Precinct 10-A,200,19600000
1,"Bahria Town, Karachi",4,4,Precinct 22,250,26000000
1,"Bahria Town, Karachi",3,3,Precinct 27,125,14000000
1,"Bahria Town, Karachi",3,3,Precinct 12,125,15000000
1,"Bahria Town, Karachi",5,5,Precinct 33,500,40000000
1,"Bahria Town, Karachi",4,4,Precinct 8,250,32000000
1,"Bahria Town, Karachi",4,4,Precinct 6,250,28000000
1,"Bahria Town, Karachi",3,3,Precinct 27,125,14000000
1,"Bahria Town, Karachi",4,4,Precinct 22,250,26000000
1,"Bahria Town, Karachi",4,4,Precinct 30,250,25000000
1,"Bahria Town, Karachi",3,3,Precinct 12,125,15000000
1,"Bahria Town, Karachi",5,5,Precinct 33,500,40000000
1,"Bahria Town, Karachi",4,4,Precinct 8,250,32000000
2,"Bahria Town, Karachi",3,3,Precinct 19,250,19500000
2,"Bahria Town, Karachi",2,2,Bahria Town,122,8500000
2,"Bahria Town, Karachi",2,2,Bahria Town,106,8500000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,200,19000000
1,"Bahria Town, Karachi",4,4,Precinct 12,125,15500000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,152,18300000
1,"Bahria Town, Karachi",3,3,Precinct 31,235,15200000
1,"Bahria Town, Karachi",3,3,Precinct 12,125,15000000
1,"Bahria Town, Karachi",4,4,Sports City,350,21500000
1,"Bahria Town, Karachi",3,3,Precinct 12,125,15000000
2,"Bahria Town, Karachi",2,2,Bahria Town,106,7500000
2,"Bahria Town, Karachi",2,2,Bahria Town,122,7500000
1,"Bahria Town, Karachi",3,3,Precinct 1,272,42500000
1,"Bahria Town, Karachi",4,4,Precinct 6,250,28000000
1,"Bahria Town, Karachi",3,3,Precinct 27,125,14000000
1,"Bahria Town, Karachi",4,4,Precinct 22,250,26000000
1,"Bahria Town, Karachi",4,4,Precinct 30,250,25000000
1,"Bahria Town, Karachi",3,3,Precinct 12,125,15000000
1,"Bahria Town, Karachi",5,5,Precinct 33,500,40000000
1,"Bahria Town, Karachi",4,4,Precinct 6,250,28000000
1,"Bahria Town, Karachi",4,4,Precinct 8,250,32000000
1,"Bahria Town, Karachi",4,4,Precinct 22,250,26000000
1,"Bahria Town, Karachi",3,3,Precinct 27,125,14000000
1,"Bahria Town, Karachi",4,4,Precinct 30,250,25000000
1,"Bahria Town, Karachi",3,3,Precinct 12,125,15000000
2,"Bahria Town, Karachi",1,1,Bahria Town,61,5500000
1,"Bahria Town, Karachi",6,6,Precinct 4,500,65000000
1,"Bahria Town, Karachi",3,3,Sports City,350,25500000
1,"Bahria Town, Karachi",4,3,Precinct 12,125,14600000
1,"Bahria Town, Karachi",4,4,Precinct 12,125,8500000
1,"Bahria Town, Karachi",3,3,Precinct 31,235,15600000
1,"Bahria Town, Karachi",3,3,Precinct 27,235,17000000
1,"Bahria Town, Karachi",3,3,Precinct 12,125,15600000
1,"Bahria Town, Karachi",3,3,Precinct 11-B,152,15600000
2,"Bahria Town, Karachi",2,2,Bahria Town,106,7600000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,152,17000000
2,"Bahria Town, Karachi",2,2,Precinct 19,106,7800000
2,"Bahria Town, Karachi",2,2,Bahria Town,83,4350000
1,"Bahria Town, Karachi",4,4,Precinct 30,250,25000000
1,"Bahria Town, Karachi",3,3,Bahria Town,125,9000000
1,"Bahria Town, Karachi",3,3,Bahria Town,250,18000000
